Age,Income,Expenses,Investment,Savings,riskcategory
52,9360000,3276000,160000000.0,6084000,4
63,18792000,5901500,204300000.0,12890500,4
40,199760000,3832000,198000000.0,195928000,3
39,380000,115500,0.0,264500,4
47,759900000,367200000,317700050.0,392700000,4
40,48000000,960000,0.0,47040000,5
50,378782400,245280000,2628000000.0,133502400,4
59,100000,30000,2000000.0,70000,3
38,2106000,1789200,600000.0,316800,3
48,6000000,345000,45000000.0,5655000,3
48,1044060,420584,0.0,623476,3
36,27520000,8320000,160048000.0,19200000,3
35,46800000,993000,68400000.0,45807000,3
43,91200000,3040000,147600000.0,88160000,4
45,23760000,8800000,132000000.0,14960000,4
40,60480000,56851312,264186000.0,3628688,3
38,273000000,7020000,6000000.0,265980000,4
48,360800000,80760000,640320000.0,280040000,3
46,88000000,57200000,6400000.0,30800000,4
34,3740000,990000,0.0,2750000,3
40,34125000,4485000,40012500.0,29640000,4
44,65952000,44720000,990000000.0,21232000,4
46,34560000,7936000,19200000.0,26624000,4
35,1360000,420700,0.0,939300,3
48,549024000,183540000,257850000.0,365484000,4
27,8390000,400000,12000000.0,7990000,4
43,2835000,1290000,39030000.0,1545000,3
47,72000000,66300000,104000000.0,5700000,3
44,3040000,516000,2400000.0,2524000,4
43,69828000,7260000,48000000.0,62568000,3
38,192560000,19064000,56000000.0,173496000,4
53,1200000,470276,46000000.0,729724,3
39,561000000,73480000,137472000.0,487520000,3
42,196000000,47628000,540480000.0,148372000,3
40,52800000,7008000,196200000.0,45792000,4
43,102400000,43200000,0.0,59200000,3
42,190704000,139200000,24209246.88,51504000,3
48,516960000,18190000,702120000.0,498770000,3
51,284200000,121338000,568554000.0,162862000,3
33,3904000,1062000,10944000.0,2842000,4
42,43750000,1595000,70020000.0,42155000,3
46,683882040,54000000,936239952.0,629882040,3
39,8907000,3150000,94800000.0,5757000,4
48,12000000,250000,36000000.0,11750000,4
45,189025620,9047000,4050000.0,179978620,3
40,200000,24000,1200000000.0,176000,4
37,18000000,1930800,9000000.0,16069200,4
46,53375000,7167500,128350000.0,46207500,4
36,17304000,1490400,220500000.0,15813600,3
47,450000,48000,1700000.0,402000,4
27,916800,612000,40000.0,304800,5
46,16320000,1680000,1142400000.0,14640000,4
42,10600000,2400000,36000000.0,8200000,4
41,187680000,131760000,0.0,55920000,4
39,2000000,345480,80000000.0,1654520,3
44,576800000,217280000,0.0,359520000,5
39,3552000,720000,60000000.0,2832000,4
46,5400000,1800000,6800000.0,3600000,3
43,1685274,716000,45000000.0,969274,4
34,8000000,78000,0.0,7922000,4
39,68460000,2934000,55500000.0,65526000,3
41,259200000,8100000,140400000.0,251100000,2
39,735000,120000,2100000.0,615000,4
40,5700000,160002,12000000.0,5539998,4
41,53508000,3197712,181608000.0,50310288,5
46,832608000,169200000,1500000.0,663408000,4
33,510000,69600,2100000.0,440400,4
38,1740000,255000,0.0,1485000,5
43,168000000,50624000,260000.0,117376000,3
43,840000,112000,32000000.0,728000,4
42,512000000,5120000,534400000.0,506880000,4
24,100000,40000,0.0,60000,4
38,379990000,80185000,669461049.0,299805000,4
31,9180000,6088500,202500000.0,3091500,4
43,404600000,33150000,205926000.0,371450000,3
44,51675000,29680000,146852414.0,21995000,3
43,23800000,12506656,800000000.0,11293344,4
33,180000,37600,0.0,142400,2
30,27815200,491168,84000000.0,27324032,4
39,53200000,18228000,168924000.0,34972000,3
32,100000,15000,400000.0,85000,4
42,86016000,68400000,239207500.0,17616000,5
32,7162724,125500,0.0,7037224,3
43,551100000,332280000,18000000.0,218820000,3
34,162432000,45888000,720000.0,116544000,3
41,3816000,1260000,40156000.0,2556000,4
37,571590000,200998710,1331100000.0,370591290,4
42,39204000,16632000,561753000.0,22572000,5
38,52440000,8981500,1200000.0,43458500,5
35,15000000,2900000,6000000.0,12100000,4
33,109200000,21000000,42000000.0,88200000,2
44,3400000,200000,0.0,3200000,5
41,58650000,19975000,9000000.0,38675000,5
33,2100000,635350,2800000.0,1464650,2
35,1500000,600000,165000000.0,900000,5
38,80248224,17928000,163375968.0,62320224,3
38,2284000,51000,40000.0,2233000,4
26,63720468,12600000,922950000.0,51120468,5
51,1600000,388000,136000000.0,1212000,4
42,7200000,340000,30000000.0,6860000,5
42,3520000,1938000,3200000.0,1582000,3
30,52500000,2398790,0.0,50101210,4
28,128000,109578,380000.0,18422,2
40,29920000,2200000,0.0,27720000,3
24,240000,19833,20000.0,220167,4
34,63000000,27000000,250200000.0,36000000,5
42,199045000,49232500,649250000.0,149812500,4
49,570000,480000,400000.0,90000,2
35,1200000,122000,0.0,1078000,4
31,900000,550000,0.0,350000,3
49,1500000,460000,0.0,1040000,4
38,354000,80000,1000000.0,274000,4
27,1499400,126000,180000.0,1373400,4
35,360000,120000,0.0,240000,3
40,275000000,5225000,71500000.0,269775000,3
43,28000000,234000,1500000.0,27766000,3
29,65000,2000,10000.0,63000,3
43,53280000,18180000,374400000.0,35100000,3
67,700000,16000,700000.0,684000,4
39,11700000,1578000,72000000.0,10122000,3
32,24978000,3719560,19500000.0,21258440,4
32,4800000,950000,0.0,3850000,2
37,34538400,5891400,41031009.0,28647000,4
31,540000,125000,2100000.0,415000,4
48,2268000,917200,1200000.0,1350800,3
37,19756800,1272000,61470000.0,18484800,3
43,900000,292000,25500000.0,608000,3
35,5664000,2256000,0.0,3408000,4
46,1611000,426000,0.0,1185000,4
33,252000000,121700000,2687500000.0,130300000,4
37,2280000,100000,0.0,2180000,3
30,2700000,828000,0.0,1872000,3
30,17604000,1698608,0.0,15905392,3
36,226800000,123480000,873600000.0,103320000,4
35,1200000,239500,90000000.0,960500,4
38,270480000,78720000,356160000.0,191760000,3
32,585000,145000,180000.0,440000,4
49,60137000,15336000,97165446.0,44801000,3
33,641196000,3120768,0.0,638075232,4
44,20640000,5229126,528000000.0,15410874,4
34,350000,50000,0.0,300000,5
38,26000000,5168660,63600000.0,20831340,3
37,223440000,16744000,706384000.0,206696000,1
30,5632000,1539200,0.0,4092800,4
32,167760000,93600000,61267864.64,74160000,4
27,360000,38000,206100.0,322000,3
37,46800000,1404984,0.0,45395016,4
30,12499200,1674000,48003.57,10825200,5
33,9834750,1855090,0.0,7979660,4
36,25000000,250000,0.0,24750000,4
32,4000000,700000,56083200.0,3300000,3
35,320000,49000,12800000.0,271000,3
36,62720000,58485000,459200000.0,4235000,3
31,315000,72000,144000.0,243000,2
31,9400000,210210,0.0,9189790,4
44,16533000,8379000,224400000.0,8154000,3
34,5400000,1395000,33660000.0,4005000,3
27,200000,37330,0.0,162670,3
35,82152000,16763600,576336000.0,65388400,3
47,4660000,900000,40000.0,3760000,3
38,190896000,19003500,40480000.0,171892500,3
42,126000,51000,725000.0,75000,3
46,23170000,7230000,455000000.0,15940000,4
43,211860000,101640000,10400000.0,110220000,3
43,6880000,496000,6800000.0,6384000,3
27,750000,78298,3500000.0,671702,4
41,16008000,2812500,380400000.0,13195500,4
33,5536000,420000,11200000.0,5116000,3
38,984000,178000,144000000.0,806000,3
28,3008880,183000,850050000.0,2825880,4
35,13000000,1236000,0.0,11764000,4
35,130500000,20880072,60200000.0,109619928,4
54,129600000,73600000,3576000000.0,56000000,3
32,720000000,8352000,26800000.0,711648000,4
30,4160000,1560000,0.0,2600000,3
30,209400,46000,36000.0,163400,4
43,900000,750000,72000000.0,150000,5
36,22320000,13500000,78400000.0,8820000,4
35,840000,124000,6000.0,716000,4
45,637140000,3567186,69999105.52,633572814,4
24,312436,53284,36000000.0,259152,4
40,5903360,4646240,292000000.0,1257120,4
31,67108554,7041750,199800000.0,60066804,4
28,21080000,5115000,108600000.0,15965000,3
34,10284780,929500,6319634.04,9355280,4
38,14175000,1344000,57804000.0,12831000,4
30,19500000,714000,960000.0,18786000,3
38,7893000,166000,0.0,7727000,3
43,464200000,132086000,43300000.0,332114000,3
36,1583400,150099,26000.0,1433301,4
36,11200000,17000,7200000.0,11183000,4
34,4656000,240000,18000000.0,4416000,4
28,24474000,468800,122400000.0,24005200,4
33,10108000,2240000,0.0,7868000,3
33,1625000,820000,1000000.0,805000,3
35,42000000,9900000,30000000.0,32100000,4
32,496358400,74940072,816000000.0,421418328,5
31,10640000,1540000,8000000.0,9100000,3
37,2460000,1230000,84000000.0,1230000,5
37,3500000,375000,625000000.0,3125000,4
32,66240000,29716000,0.0,36524000,3
29,100000,30000,60000.0,70000,5
35,2911224,150000,50000000.0,2761224,2
45,6798000,2508000,21042000.0,4290000,4
36,88440000,72360000,76528000.0,16080000,3
34,38808000,1568000,59360000.0,37240000,4
44,56595000,12144000,1752800000.0,44451000,3
33,280600000,38953680,664548200.0,241646320,4
33,135975000,52447500,189126000.0,83527500,3
31,513920000,69632000,0.0,444288000,4
35,62640000,22620000,102000000.0,40020000,3
34,360000,60000,0.0,300000,4
40,2220000,640000,9600000.0,1580000,4
38,28359912,11745168,0.0,16614744,4
23,823200000,36273600,2904300000.0,786926400,3
28,10260000,82600,0.0,10177400,2
25,6860000,1113000,4900000.0,5747000,2
34,160000,35574,580000.0,124426,4
28,2700000,1728000,0.0,972000,3
42,9200000,700000,64000000.0,8500000,3
27,1000000,200000,0.0,800000,2
44,854000,349500,52500000.0,504500,3
34,406126500,63540000,44400000.0,342586500,4
33,148689206,23770980,79284027.42,124918226,1
35,75000000,632620,15450000.0,74367380,3
29,10800000,90000,600000.0,10710000,4
35,14400000,3015000,2244000.0,11385000,3
29,154800000,32533456,5208000.0,122266544,4
30,197100000,125640000,468720000.0,71460000,3
36,972000,300000,24000000.0,672000,3
38,184800000,1320000,58000000.0,183480000,4
40,516528000,72522000,386400000.0,444006000,4
25,115500000,32538000,1062000.0,82962000,4
34,44800000,17696000,0.0,27104000,4
33,43225000,3460014,84217000.0,39764986,4
37,50400000,6384000,189840000.0,44016000,4
26,14058000,330000,438000.0,13728000,3
33,24000000,200000,0.0,23800000,3
39,163296000,17808000,3584000.0,145488000,4
26,237000,70000,0.0,167000,3
28,150400000,2400000,0.0,148000000,4
38,2920000,1600000,40500000.0,1320000,4
23,510000,37654,300000.0,472346,4
34,870000,200000,5000000.0,670000,4
28,31500000,4068000,0.0,27432000,3
29,83300000,62220000,0.0,21080000,4
26,1700000,340000,0.0,1360000,4
26,231000,60092,0.0,170908,4
35,5355000,1314000,28693000.0,4041000,4
31,2484000,560000,19200000.0,1924000,4
28,572852224,10850000,2000000.0,562002224,4
30,1902400,247000,0.0,1655400,3
34,3200000,640000,0.0,2560000,3
31,148500000,1601622,264024000.0,146898378,4
38,702000,181686,45342000.0,520314,4
28,240000,20400,0.0,219600,4
35,260000,60000,0.0,200000,4
34,3400000,1420000,92000000.0,1980000,4
35,19800000,4477500,6300000.0,15322500,3
35,33379200,6048000,0.0,27331200,4
39,800000,208000,32000000.0,592000,3
29,50400000,10800000,0.0,39600000,5
35,12800000,1120000,180600000.0,11680000,3
33,409860000,6204000,14400000.0,403656000,5
28,12313632,3348000,0.0,8965632,2
40,35200000,2240000,432000.0,32960000,3
36,2100000,854000,800000.0,1246000,4
28,1440000,616500,0.0,823500,4
39,39526704,3565800,41814.0,35960904,3
29,296000,28000,0.0,268000,4
29,768000,84000,300000.0,684000,4
36,37485000,12054000,41400000.0,25431000,3
29,4100000,982000,400000.0,3118000,4
30,269328000,29760000,18559952.0,239568000,4
30,430920000,18792000,2400000.0,412128000,3
36,876000,101310,132800000.0,774690,4
37,3524994,585000,210000000.0,2939994,3
33,70560000,12740000,8800000.0,57820000,4
30,1764000,99000,66600000.0,1665000,4
36,52000000,10400000,0.0,41600000,4
33,2100000,245000,0.0,1855000,3
35,1500000,120000,0.0,1380000,3
32,732032000,418880000,8214400000.0,313152000,4
27,77000000,16800000,2000000.0,60200000,4
28,80002,50240,40.0,29762,4
33,2360000,640000,32000000.0,1720000,3
24,675000,105000,0.0,570000,3
36,1350000,735000,0.0,615000,4
30,4080000,1445000,1480000.0,2635000,3
23,7822500,2043000,0.0,5779500,4
34,19125000,1944800,91080000.0,17180200,3
34,1800000,304000,18000000.0,1496000,3
27,53300,27000,7000.0,26300,5
23,390000,120000,0.0,270000,4
30,11730000,3708750,10650000.0,8021250,4
29,168000000,19488000,90000.0,148512000,4
30,150000,80000,1000000.0,70000,4
25,900000,103000,1200000.0,797000,3
31,56400000,20920000,89280000.0,35480000,3
31,2650000,1200000,132000.0,1450000,3
35,27000000,6552000,55290000.0,20448000,3
30,64800000,1539000,0.0,63261000,3
34,183600000,52939800,12000000.0,130660200,4
28,14400000,210000,0.0,14190000,4
27,7214000,1536000,0.0,5678000,4
36,8877796,960000,96000000.0,7917796,2
34,7120000,668000,40000000.0,6452000,3
33,300000,60000,900.0,240000,3
29,1972400,135000,0.0,1837400,4
29,31200000,632000,3600000.0,30568000,4
25,9776000,1300000,0.0,8476000,4
34,640000,160000,11520000.0,480000,5
25,792000,73000,0.0,719000,5
22,750000,35000,100000.0,715000,4
34,492000,276000,10000000.0,216000,4
28,198000,47000,0.0,151000,3
35,15589080,612000,240000.0,14977080,4
31,22680000,6453360,1272000.0,16226640,3
34,720000,194000,0.0,526000,3
24,300000,200000,15000000.0,100000,3
37,4248000,89430,360000.0,4158570,4
28,1838400,1062000,192000000.0,776400,5
27,800000,20000,4000.0,780000,4
24,600000,79500,357000.0,520500,3
27,129000,27000,105000.0,102000,3
28,357600,213000,540000000.0,144600,3
34,40630000,20570000,878550000.0,20060000,4
27,84000,24000,69400.0,60000,4
32,91800000,11928000,162900000.0,79872000,4
34,3000000,1275000,0.0,1725000,5
33,320364000,26400000,56000000.0,293964000,4
27,178000,25000,0.0,153000,3
30,642880000,306352000,524800000.0,336528000,4
29,213720000,18720000,0.0,195000000,2
32,350000,150000,0.0,200000,4
32,1200000,411250,40000.0,788750,2
30,358750000,102500000,0.0,256250000,4
29,2925000,2385000,15000.0,540000,4
29,1153728,113600,3000.0,1040128,5
30,135000,29400,0.0,105600,3
29,3080000,1032000,2800000.0,2048000,4
23,9345000,1310500,408000.0,8034500,4
21,20000,2150,160000.0,17850,3
30,6468000,840000,70500.0,5628000,4
26,2590000,540000,2450000.0,2050000,2
29,12408000,1641794,0.0,10766206,4
28,175636000,2113750,127564000.0,173522250,4
29,440000,64000,0.0,376000,4
33,1440000,1264000,2520000.0,176000,4
29,880000,92000,880000.0,788000,4
29,5586000,1463000,996000.0,4123000,4
25,6160000,2772000,176000000.0,3388000,3
27,4950000,2475000,0.0,2475000,4
29,50400000,490000,0.0,49910000,4
29,9600000,130000,1200000.0,9470000,4
26,321750000,288860000,8509936.25,32890000,4
27,3996000,90000,0.0,3906000,3
25,9200016,1752000,1020000.0,7448016,4
30,21450000,981261,330000.0,20468739,4
24,200000,10000,50000.0,190000,3
24,6660000,1665000,115800.0,4995000,4
29,16800000,144750,24000.0,16655250,4
26,415000,76700,0.0,338300,5
26,1495000,644000,0.0,851000,3
28,920000,374284,704000.0,545716,4
27,115600000,49470000,26400000.0,66130000,3
24,240000,52000,120000.0,188000,5
32,114774000,55308000,42000000.0,59466000,4
